group,mode,recovered_valid_rate,mean_reactivated_fraction_within_eligible,mean_act_drift_l2,mean_decode_drift_l2,zero_reactivation_rate
All targets (unweighted),encoder,0.749404087628702,0.0017745904053057052,0.03872120076783285,0.03915561988971026,0.6804967810685626
All targets (unweighted),none,0.8194637571361947,0.01256465591354419,0.0944835846383378,0.09523396808307089,0.10250322404735779
