dataset_preset,mode,recovered_valid_rate,mean_reactivated_fraction_within_eligible,mean_act_drift_l2,mean_decode_drift_l2,zero_reactivation_rate,dataset_label
amazon_reviews,encoder,0.8691490714207557,0.00231568469171658,0.02191639381370538,0.02194631224089128,0.5936118403286826,Amazon Reviews
amazon_reviews,none,0.9240593937698505,0.01527910224494236,0.03946450508706604,0.040222284168930963,0.034991294489223924,Amazon Reviews
bias_in_bios_set1,encoder,0.7535482465373878,0.0015854139402298,0.0592033158197662,0.06002450428089869,0.7150340094367624,Bias in Bios 1
bias_in_bios_set1,none,0.8309233564058776,0.01138842513014102,0.24756629935102223,0.24841788857306266,0.127597443900673,Bias in Bios 1
bias_in_bios_set2,encoder,0.7454846786426954,0.0016305044902353,0.0341976598983891,0.034634606356473044,0.7032388938645668,Bias in Bios 2
bias_in_bios_set2,none,0.8032206997038778,0.011339310805409659,0.04060530426976488,0.041193604443768364,0.1399914170856904,Bias in Bios 2
bias_in_bios_set3,encoder,0.6294343539139692,0.0015667584990411401,0.039567433539470745,0.04001705668057802,0.7101023806442383,Bias in Bios 3
bias_in_bios_set3,none,0.7196515786651732,0.01225178547368372,0.050298229845498,0.051102095146521545,0.10743274071384379,Bias in Bios 3
