dataset_preset,target_label_name,mode,total_metric,recovered_valid_rate,mean_reactivated_fraction_within_eligible,mean_act_drift_l2,zero_reactivation_rate,raw_valid_flip_count
amazon_reviews,Musical_Instruments,none,0.3842500001192093,0.9661399548532732,0.0156642773638544,0.042227687461577,0.0248306997742663,443
amazon_reviews,Musical_Instruments,encoder,0.3842500001192093,0.9209932279909706,0.0033280630065149,0.0245250121578779,0.4288939051918736,443
bias_in_bios_set1,dentist,none,0.4667500555515289,0.6012396694214877,0.0096305854760941,0.9975195198419912,0.0661157024793388,484
bias_in_bios_set1,dentist,encoder,0.4667500555515289,0.4855371900826446,0.000944350044193,0.0865887541416262,0.7417355371900827,484
bias_in_bios_set2,journalist,none,0.4297500103712082,0.9445628997867804,0.0098190928411199,0.030031534192127,0.1897654584221748,469
bias_in_bios_set2,journalist,encoder,0.4297500103712082,0.9211087420042644,0.0022003406098783,0.0221074237347345,0.6396588486140725,469
bias_in_bios_set3,surgeon,none,0.4267500340938568,0.4085106382978723,0.0083060880815808,0.0750043714181222,0.0978723404255319,470
bias_in_bios_set3,surgeon,encoder,0.4267500340938568,0.3468085106382979,0.0015486558195837,0.06759444230677,0.6170212765957447,470
