row_label,recovery_none,recovery_encoder,react_none,react_encoder,act_none,act_encoder,zero_none,zero_encoder
Bias in Bios 1,0.8309233564058776,0.7535482465373878,0.01138842513014102,0.0015854139402298,0.24756629935102223,0.0592033158197662,0.127597443900673,0.7150340094367624
Bias in Bios 2,0.8032206997038778,0.7454846786426954,0.011339310805409659,0.0016305044902353,0.04060530426976488,0.0341976598983891,0.1399914170856904,0.7032388938645668
Bias in Bios 3,0.7196515786651732,0.6294343539139692,0.01225178547368372,0.0015667584990411401,0.050298229845498,0.039567433539470745,0.10743274071384379,0.7101023806442383
Amazon Reviews,0.9240593937698505,0.8691490714207557,0.01527910224494236,0.00231568469171658,0.03946450508706604,0.02191639381370538,0.034991294489223924,0.5936118403286826
All targets (unweighted),0.8194637571361947,0.749404087628702,0.01256465591354419,0.0017745904053057052,0.0944835846383378,0.03872120076783285,0.10250322404735779,0.6804967810685626
